client_id	path	sentence	up_votes	down_votes	age	gender	accent
66b65a5851b8969b80988c1099ce916fbc45580d1358898456e915389bcf56325606c829d5807d5ef5da542f938d4e38eb7a7a52fc0ecc9ef796d7d2204fba39	50308e46d323104eb842e8a396a19a22d1481432374fb80a7d3e5f531e7247dd6487355c4226d7832ea5d507125ff42fa308e854e140c96a0775268a86d8b897.mp3	The microphone put out a muffled signal.	1	0	twenties	male	indian
2df25577d787b495e8ba85e3f5e2c2487324ab22ccd3bbe56d39c40184f06a303f1bb3f4bf3826f98c3b7f234852718095bcbae8310e3089c5fa86967772127b	b01440bf9c19bfe65edaf64990e38d21854aa8ed4c6c516dca46182a2e1bf2cc498488dbac242cfa4d1d4c6f273e8a863333da34174d46e1134d6066d4164f11.mp3	Makes about five thousand a year.	1	0	twenties	male	indian
f94680c3e67736afa2c8bd1b6d2fab951520aea63ca41d15ab3ccdaa5717f826dc4d14993237f421ae6db1ef65da0959f60ef030429752b873ca419c25d0c7d2	be30c0fdcd2ea4d1f0298f0d06d44c7a163da92a57882df85db563e1be38d34eb232cb60a9be02368f386ee80f4f2618edab6c90a28687ee336aa0ae8f728e9e.mp3	What have you got to report?	1	0	thirties	male	indian
f94680c3e67736afa2c8bd1b6d2fab951520aea63ca41d15ab3ccdaa5717f826dc4d14993237f421ae6db1ef65da0959f60ef030429752b873ca419c25d0c7d2	7d1f497216acd5a0a8e763b412fe27e676942c15a19e8316663ba8c2d0e3b08d9b9d5dbc4fb459473e555181bb08ea7d5398eae69fff188507b9ea5dd987239f.mp3	She cried for an hour.	1	0	thirties	male	indian
f94680c3e67736afa2c8bd1b6d2fab951520aea63ca41d15ab3ccdaa5717f826dc4d14993237f421ae6db1ef65da0959f60ef030429752b873ca419c25d0c7d2	879b2cfefbaea072d8b5ad2b386d297d38259faaf3bb4656ee048cadd5a6afa2e86f5fce4dac22874c98fc920adf059a3def92770054e37b80b059f424a986fc.mp3	At the top of the skyscraper was a suspicious satellite dish.	1	0	thirties	male	indian
1d68c16bc3472a21997f4ba48d54fd3a498705b389ad0ca53be381a3e37fe9c80aaf2170665cb4bc24f8a47614fa40edb233b1e0fadfa22afd3a8df1977cd395	f57f01d929b9b30966c5c803a7dcf881caa8ca32da4fd7c406f2aaa4cc75117d52c18569e33a086fe1f3b03e59d6688ff9fa0dc3f58d9c378387035a8f30f3bc.mp3	Anthony kept himself busy by counting pigeons.	0	0	thirties	female	indian
f996d74d71b6eab4882824a8f10dc1a98fd2466150df7bd67634c082874859c8ab1098e59a871f2ce9f8d377977e58a4d42ef96bbfe98945c43af5f53e38d238	afbf969d2f615e0722ea7aef5da335551bfc64b4e63051eb324f2eec59e1e1505a6187722fe8121cede66f042f98f9a1e46b08deb44f7c77ac9d3d954fb2ef29.mp3	She went to buy me a new console at the department store.	1	0	thirties	male	indian
f996d74d71b6eab4882824a8f10dc1a98fd2466150df7bd67634c082874859c8ab1098e59a871f2ce9f8d377977e58a4d42ef96bbfe98945c43af5f53e38d238	19faef9ab58275e8ffc7345fbecc1fa787f68d03e3c6df0f3c87d01710785580bf3cbe73b773387d25c945a1b16e7d63d5b2708d5940a87018522079983c10b6.mp3	The cushion was soft and inviting.	0	0	thirties	male	indian
f996d74d71b6eab4882824a8f10dc1a98fd2466150df7bd67634c082874859c8ab1098e59a871f2ce9f8d377977e58a4d42ef96bbfe98945c43af5f53e38d238	f2915213f5026d98b09583b5abe3dfed546eedb6a12a184493143d2340b8fbe9eb49ddfd15825e827a04ccf7beef45c2dad1b35819d625f932741ba59f00b669.mp3	That is unlikely considering it has his name on it.	1	0	thirties	male	indian
f996d74d71b6eab4882824a8f10dc1a98fd2466150df7bd67634c082874859c8ab1098e59a871f2ce9f8d377977e58a4d42ef96bbfe98945c43af5f53e38d238	06747a7f3cba3b156a2481fd8e7c9a4b95b0301bfd62068c4364d54def6600df7e1a698e2f265b17171fe15a8c85625943bba4945a06e4d74014039d65e688ce.mp3	Those egoistic businessmen always consider themselves important, just because they wear a cravat.	1	0	thirties	male	indian
